"x_1";"x_2";"x_3";"x_4";"x_5";"x_6";"x_7";"x_8";"x_9";"x_10";"x_11";"x_12";"x_13";"x_14";"x_15";"x_16";"x_17";"x_18";"x_19";"x_20";"x_21";"x_22";"x_23";"x_24";"x_25";"x_26";"x_27";"x_28";"x_29";"x_30";"fitness"
-4.54;3.74;-0.57;-4.93;-1.07;-2.35;-0.69;-2.91;-2.48;3.02;-1.5;-1.78;-2.39;-1.98;1.01;-0.79;1.09;1.75;2.54;-0.15;3.75;-3.96;4.43;1.33;-3.72;0.78;-2.5;-0.46;-3.48;2.46;542.401276912945
4.6;-3.93;4.74;0.0999999999999996;1.74;2.3;0.24;-1.1;2.82;2.03;-4.28;-0.85;5.12;-2.33;-2.24;2.86;-4.68;4.67;-2.61;-2.83;-4.36;3.18;-1.56;0.67;3.42;-4.07;-1.66;-2.1;-4.89;-1.37;579.713642083143
-0.72;2.44;-5.11;4.1;0.36;-0.27;-0.89;2.09;2.94;5.01;-4.92;2.16;0.49;3.98;4.87;-1.71;-2.11;-0.00999999999999979;-3.22;1.39;-0.81;-3.33;4.02;-3.19;-4.43;-0.35;1.02;0.75;0.21;-3.45;485.090177943472
0.44;1.22;-2.15;-0.76;-0.5;4.82;0.71;3.55;-2.06;4.95;3.85;2.44;0.71;-4.46;-1.8;-1.39;-4.88;2.42;-0.38;2.61;5.02;-3.48;4.34;-0.4;2.39;-4.33;0.0199999999999996;-4.38;1.61;1.5;637.552818374162
3.72;4.27;3.24;-1.8;2.42;-0.73;1.3;1.21;-0.31;1.75;0.79;4.25;1.44;-2.34;0.97;-4.93;0.0499999999999998;4.43;0.66;-4.81;4.74;-1.97;3.53;2.11;-0.21;1.32;-3.19;3.8;1.24;0.22;518.084937767007
1.84;0.71;0.56;4.14;-3.91;-3.69;1.93;-3.69;2.66;1.91;0.6;3.63;-1.03;-1.18;0.4;-2.59;-1.32;-4.32;-4.81;1;-1.28;-1.23;0.25;0.49;-3.2;-0.53;-0.93;-4.7;-3.7;4.53;540.20084346352
-3.96;-1.09;0.0599999999999996;-2.73;3.07;-4.32;-3.12;-3.62;5.12;-0.89;-4.85;-0.49;-2.67;-1.31;-3.48;-5.12;-4.33;-2.18;-2.11;0.12;-2.01;0;0.21;-4.06;3.68;-2.65;-4.91;3.98;3.67;0.5;525.621668087633
2.65;-0.73;-1.87;0.9;-1.75;-0.0300000000000002;2.75;-3.84;4.35;-1.49;-1.82;-4.3;-2.65;0.17;4.96;4.05;-1.85;-2.35;0.79;4.95;-2.3;-3.06;4.69;-3.96;-4.31;5.02;3.55;-2.28;2.31;-2.32;549.375789472266
-0.34;3.83;4.3;2.79;3.98;-0.13;1.55;-3.15;0.67;-1.39;1.31;2.6;-1.09;0.71;1.28;-3.78;-0.15;-2.25;0.69;-2.03;4.38;-2.31;-1.71;-3.45;-0.35;0.65;3.57;-3.41;1.45;-3.54;552.038569036532
2.6;-3.99;2.52;4.22;-1.39;-3.94;1.91;2.83;4.91;1.73;2.4;0.00999999999999979;-0.84;1.35;4.13;-2.92;2.26;4;4.93;-3.01;-1.29;-3.28;-2.35;-1.03;-4.97;4.57;3.98;4.19;2.91;-4.2;528.732406251197
-2.22;-4.38;-0.0899999999999999;-3;1.77;-5.02;-3.42;-3.07;-4.82;5.12;-1.04;3.74;-0.16;-2.37;-0.29;2.57;-4.53;2.88;4.04;-5.11;3.74;2.36;4.52;-3.07;1.99;2.91;2.3;-3.23;-1.46;-2.28;571.485657301515
3.05;-3.35;3.79;-3.04;1.63;3.63;3.15;-3.02;-2.59;-1.45;-2.73;-4.41;-4.47;-0.0800000000000001;-0.46;-4.15;-3.83;-4.5;-3.28;-2.17;4.92;-3.85;-1.89;3.86;-1.4;-2.02;0.58;-2.74;3.38;-1.26;590.524374674446
3.2;-3;1.99;3.58;0.52;4.63;-2.89;-2.32;0.75;-3.37;-5.1;-3.09;-1.08;-2.94;-1.96;5.12;-0.6;-4.49;0.96;-1.19;2.37;4.31;-3.35;-4.05;-2.35;3.84;-4.13;-1.99;4.45;3.11;555.621523449191
